"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Group","Treatment"
"108","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_11_substack_frame_2",407.83,440.63,0.93,1.08,2.8,7.34,3.82,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_11",89.8303964757709,157.367857142857,1.75183304668262,0.570830651867005,"pCUP-Cdc5[WT]","CuSO4"
"109","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_12_substack_frame_1",763.07,507.35,1.5,0.66,3.73,8.67,4.83,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_12",154.467611336032,136.018766756032,0.880564964911212,1.13563455264295,"pCUP-Cdc5[WT]","CuSO4"
"110","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_12_substack_frame_2",606.18,533.56,1.14,0.88,3.1,7.48,4.09,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_12",138.397260273973,172.116129032258,1.24363826777738,0.804092336099623,"pCUP-Cdc5[WT]","CuSO4"
"111","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_13_substack_frame_1",618.08,384.7,1.61,0.62,2.68,6.88,3.59,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_13",147.161904761905,143.544776119403,0.975420754111915,1.02519860868704,"pCUP-Cdc5[WT]","CuSO4"
"112","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_13_substack_frame_2",464.25,532.18,0.87,1.15,3.66,8.51,4.76,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_13",95.7216494845361,145.404371584699,1.51903328419126,0.65831342236349,"pCUP-Cdc5[WT]","CuSO4"
"113","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_15_substack_frame_1",442.5,327.36,1.35,0.74,3.65,8.84,4.87,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_15",85.2601156069364,89.6876712328767,1.05192997446018,0.950633620373039,"pCUP-Cdc5[WT]","CuSO4"
"114","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_15_substack_frame_2",449.81,498.79,0.9,1.11,3.7,8.27,4.71,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_15",98.4266958424508,134.808108108108,1.36962951925047,0.730124450404114,"pCUP-Cdc5[WT]","CuSO4"
"115","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_16_substack_frame_1",499.9,334.45,1.49,0.67,4.51,9.99,5.81,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_16",91.2226277372263,74.1574279379157,0.812927995798716,1.23012124710686,"pCUP-Cdc5[WT]","CuSO4"
"116","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_16_substack_frame_2",461.41,415.62,1.11,0.9,2.45,6.55,3.4,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_16",112.539024390244,169.640816326531,1.50739547677505,0.663395913950478,"pCUP-Cdc5[WT]","CuSO4"
"117","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_18_substack_frame_1",692.42,262.87,2.63,0.38,2.76,7.15,3.74,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_18",157.726651480638,95.2427536231884,0.603846925862623,1.65604883815787,"pCUP-Cdc5[WT]","CuSO4"
"118","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_18_substack_frame_2",469.85,481.37,0.98,1.02,3.81,8.66,4.92,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_18",96.8762886597938,126.343832020997,1.30417704650811,0.766767060252643,"pCUP-Cdc5[WT]","CuSO4"
"119","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_1_substack_frame_1",591.95,296.37,2,0.5,3.08,7.74,4.1,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_1",127.027896995708,96.224025974026,0.75750310167913,1.3201266077767,"pCUP-Cdc5[WT]","CuSO4"
"120","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_1_substack_frame_2",510.91,614.45,0.83,1.2,3.84,8.69,4.95,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_1",105.342268041237,160.013020833333,1.51898211239096,0.658335599769469,"pCUP-Cdc5[WT]","CuSO4"
"121","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_20_substack_frame_1",464.19,395.44,1.17,0.85,4.26,9.29,5.42,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_20",92.2842942345925,92.8262910798122,1.00587312120351,0.994161170947208,"pCUP-Cdc5[WT]","CuSO4"
"122","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_20_substack_frame_2",505.28,425.89,1.19,0.84,2.74,7.31,3.75,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_20",110.564551422319,155.434306569343,1.40582405997051,0.711326565303612,"pCUP-Cdc5[WT]","CuSO4"
"123","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_21_substack_frame_1",441.39,298.95,1.48,0.68,3.43,8.37,4.56,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_15_R3D_D3D_nucleus_21",89.3502024291498,87.1574344023324,0.975458723458895,1.0251587032346,"pCUP-Cdc5[WT]","CuSO4"
