"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Subcomplex"
"47","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_3_substack_frame_1_middleslice",701.95,328.33,2.14,0.47,2.9,7.47,3.93,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_3",153.599562363239,113.21724137931,0.737093515355009,1.35667995874088,3,"Nup60-GFP","Basket"
"48","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_4_substack_frame_1_middleslice",672.35,266.38,2.52,0.4,3.36,7.83,4.4,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_4",150.413870246085,79.2797619047619,0.527077468155404,1.89725431348767,3,"Nup60-GFP","Basket"
"49","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_5_substack_frame_1_middleslice",729.71,310.2,2.35,0.43,3.11,7.59,4.12,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_5",162.881696428571,99.7427652733119,0.61236325173622,1.63301765278162,3,"Nup60-GFP","Basket"
"50","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_6_substack_frame_1_middleslice",679.44,268.81,2.53,0.4,3.16,7.73,4.23,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_6",148.673960612691,85.0664556962025,0.572167818396982,1.74773898119901,3,"Nup60-GFP","Basket"
"51","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_7_substack_frame_1_middleslice",701.24,284.85,2.46,0.41,3.31,7.97,4.35,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_7",150.480686695279,86.0574018126888,0.571883367245351,1.74860829545857,3,"Nup60-GFP","Basket"
"52","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_8_substack_frame_1_middleslice",795.64,270.99,2.94,0.34,3.18,7.47,4.13,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_8",185.463869463869,85.2169811320755,0.459480228566442,2.17637220891954,3,"Nup60-GFP","Basket"
"53","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_9_substack_frame_1_middleslice",787.84,290.58,2.71,0.37,3.36,8.21,4.48,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_30_R3D_D3D_nucleus_9",162.441237113402,86.4821428571429,0.53239032399617,1.87832113944879,3,"Nup60-GFP","Basket"
"54","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice",1450.11,446.89,3.24,0.31,2.58,6.68,3.46,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1",353.685365853659,173.213178294574,0.489738041257389,2.04190795028405,3,"Nup2-GFP","Basket"
"55","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_1_middleslice",1324.91,462.88,2.86,0.35,2.56,6.76,3.5,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2",315.454761904762,180.8125,0.573180442445147,1.74465129294027,3,"Nup2-GFP","Basket"
"56","210209_15305_measurements.csv","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4_substack_frame_1_middleslice",973.25,330.64,2.94,0.34,2.53,6.82,3.46,0,"Pre","210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4",226.864801864802,130.687747035573,0.576060040876043,1.73593016186169,3,"Nup2-GFP","Basket"
