"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Sample"
"184","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_5_substack_frame_4",262.23,174.23,1.51,0.66,1.7,5.06,2.41,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_34_R3D_D3D_nucleus_5",78.0446428571429,102.488235294118,1.31320013190037,0.761498552816064,"Nup60-GFP_delta2-47"
"185","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_1_substack_frame_1",587.13,368.48,1.59,0.63,3.64,8.11,4.62,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_1",131.348993288591,101.230769230769,0.770700762116632,1.29752045041921,"Nup60-GFP_delta2-47"
"186","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_1_substack_frame_2",539.29,359.05,1.5,0.67,2.74,7.12,3.72,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_1",123.125570776256,131.040145985401,1.06428051589323,0.939601904823675,"Nup60-GFP_delta2-47"
"187","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_1_substack_frame_3",401.74,436.58,0.92,1.09,3.17,8.27,4.4,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_1",78.7725490196079,137.722397476341,1.74835522260501,0.571966146850879,"Nup60-GFP_delta2-47"
"188","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_1_substack_frame_4",336.93,256.43,1.31,0.76,1.94,5.65,2.74,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_1",90.8167115902965,132.180412371134,1.45546353811447,0.687066335784328,"Nup60-GFP_delta2-47"
"189","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_2_substack_frame_1",573.44,280.23,2.05,0.49,3.88,9.7,5.27,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_2",98.5292096219931,72.2242268041237,0.733023507254464,1.36421273001939,"Nup60-GFP_delta2-47"
"190","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_2_substack_frame_2",377.98,261.23,1.45,0.69,2.73,6.83,3.64,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_2",92.190243902439,95.6886446886447,1.03794762480407,0.963439749851313,"Nup60-GFP_delta2-47"
"191","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_2_substack_frame_3",438.97,528.43,0.83,1.2,4.59,11.22,6.11,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_2",66.209653092006,115.126361655773,1.73881535817431,0.575104191079817,"Nup60-GFP_delta2-47"
"192","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_2_substack_frame_4",282.9,172.48,1.64,0.61,1.76,5.21,2.52,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_2",82,98,1.19512195121951,0.836734693877551,"Nup60-GFP_delta2-47"
"193","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_3_substack_frame_1",669.13,259.53,2.58,0.39,2.86,7.33,3.85,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_35_R3D_D3D_nucleus_3",149.693512304251,90.7447552447552,0.606203661387258,1.64961062378205,"Nup60-GFP_delta2-47"
