"","Sample","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n"
"35","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_17_substack_frame_1",915.61,421.05,2.17,0.46,2.89,7.09,3.8,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_17",218.002380952381,145.692041522491,0.668304817984146,1.49632319428187,2
"36","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_17_substack_frame_2",631.64,248.4,2.54,0.39,2.29,6.58,3.23,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_17",147.235431235431,108.471615720524,0.736722233299107,1.35736367765353,2
"37","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_18_substack_frame_1",701.68,265.97,2.64,0.38,2.52,6.53,3.4,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_18",174.982543640898,105.543650793651,0.603166742222295,1.6579163438548,2
"38","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_18_substack_frame_2",417.89,191.95,2.18,0.46,1.81,5.37,2.73,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_18",117.384831460674,106.049723756906,0.903436350653487,1.10688483950935,2
"39","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_19_substack_frame_1",737.64,398.36,1.85,0.54,3.21,7.59,4.16,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_19",168.41095890411,124.09968847352,0.736886063003659,1.35706189899134,2
"40","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_19_substack_frame_2",475.85,238.02,2,0.5,3.04,7.52,4.03,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_19",106.216517857143,78.2960526315789,0.737136315623565,1.35660118597477,2
"41","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_20_substack_frame_1",559.85,236.12,2.37,0.42,2.13,5.77,2.94,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_20",153.804945054945,110.854460093897,0.72074704785529,1.3874493180037,2
"42","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_20_substack_frame_2",597.69,307.88,1.94,0.52,2.82,6.93,3.73,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_20",145.423357664234,109.177304964539,0.75075494554745,1.33199255753261,2
"43","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_3_substack_frame_1",1027.46,460.12,2.23,0.45,3.25,7.64,4.27,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_3",234.04555808656,141.575384615385,0.604905240555874,1.65315149044015,2
"44","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_3_substack_frame_2",931.77,408.73,2.28,0.44,3.71,8.94,4.91,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_3",178.158699808795,110.169811320755,0.618380193832756,1.6171281195181,2
"45","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_4_substack_frame_1",780.02,350.94,2.22,0.45,3.14,7.61,4.13,0,"Pre","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_4",174.501118568233,111.764331210191,0.640479167854099,1.56133103181242,2
"46","Cdc20mn","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_4_substack_frame_2",602.95,254.02,2.37,0.42,2.34,6.82,3.36,0,"Metaphase I","210331_cdc5mncdc20mn_Nup60-GFP_01_12_R3D_D3D_nucleus_4",134.587053571429,108.555555555556,0.806582451096922,1.23979885582687,2
