"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Treatment"
"45","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_10_substack_frame_1_middleslice",608.33,276.26,2.2,0.45,3.11,7.68,4.16,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_10",133.113785557987,88.8295819935691,0.667320680733501,1.4985299105384,2,"pCUP-Cdc5[KD]","CuSO4"
"46","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_10_substack_frame_2_middleslice",821.98,252.11,3.26,0.31,2.89,7.79,4.01,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_10",167.751020408163,87.2352941176471,0.52002839628272,1.92297191297288,2,"pCUP-Cdc5[KD]","CuSO4"
"47","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_11_substack_frame_1_middleslice",790.37,383.36,2.06,0.49,3.99,8.93,5.09,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_11",159.993927125506,96.0802005012531,0.600524046302606,1.66521225279312,2,"pCUP-Cdc5[KD]","CuSO4"
"48","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_11_substack_frame_2_middleslice",750.74,345.53,2.17,0.46,3.61,8.28,4.66,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_11",160.758029978587,95.7146814404432,0.595395959089525,1.67955456320058,2,"pCUP-Cdc5[KD]","CuSO4"
"49","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_12_substack_frame_1_middleslice",688.27,278.08,2.48,0.4,2.49,6.51,3.37,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_12",171.21144278607,111.678714859438,0.652285344029145,1.53307139146042,2,"pCUP-Cdc5[KD]","CuSO4"
"50","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_12_substack_frame_2_middleslice",772.9,309.15,2.5,0.4,2.68,6.79,3.6,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_12",188.053527980535,115.35447761194,0.613412993899695,1.63022304702518,2,"pCUP-Cdc5[KD]","CuSO4"
"51","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_13_substack_frame_1_middleslice",1078.79,391.52,2.76,0.36,3.54,8.21,4.58,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_13",231.004282655246,110.598870056497,0.478774110961208,2.08866765580193,2,"pCUP-Cdc5[KD]","CuSO4"
"52","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_13_substack_frame_2_middleslice",1037.48,410.74,2.53,0.4,3.79,8.45,4.9,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_13",222.635193133047,108.374670184697,0.486781396326373,2.05431022538406,2,"pCUP-Cdc5[KD]","CuSO4"
"53","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_15_substack_frame_1_middleslice",559.95,262.69,2.13,0.47,2.48,6.4,3.32,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_15",142.844387755102,105.923387096774,0.741529917705786,1.34856325567267,2,"pCUP-Cdc5[KD]","CuSO4"
"54","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_15_substack_frame_2_middleslice",553.56,251.99,2.2,0.46,2.17,5.9,2.96,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_13_R3D_D3D_nucleus_15",148.407506702413,116.124423963134,0.782470014781575,1.27800424439159,2,"pCUP-Cdc5[KD]","CuSO4"
