"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Experiment"
"11","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_6_substack_frame_1_middleslice",760.99,194.15,3.92,0.26,2.53,6.63,3.5,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_6",185.607317073171,76.7391304347826,0.413448842668903,2.4186789193671,2,"Nup60-WT","pCUP-Cdc5_induction"
"12","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_6_substack_frame_2_middleslice",728.21,401.37,1.81,0.55,2.7,7.25,3.73,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_01_R3D_D3D_nucleus_6",160.046153846154,148.655555555556,0.92882929069606,1.0766241009159,2,"Nup60-WT","pCUP-Cdc5_induction"
"13","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_10_substack_frame_1_middleslice",882.35,324.83,2.72,0.37,3.17,8.02,4.33,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_10",181.927835051546,102.470031545741,0.563245484214706,1.77542479793554,2,"Nup60-WT","pCUP-Cdc5_induction"
"14","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_10_substack_frame_2_middleslice",808.23,475.25,1.7,0.59,3.26,8.11,4.34,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_10",166.645360824742,145.782208588957,0.87480508228653,1.1431117859835,2,"Nup60-WT","pCUP-Cdc5_induction"
"15","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_11_substack_frame_1_middleslice",686.18,213.06,3.22,0.31,1.84,5.39,2.63,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_11",193.29014084507,115.79347826087,0.599065621012106,1.66926621212302,2,"Nup60-WT","pCUP-Cdc5_induction"
"16","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_11_substack_frame_2_middleslice",479.09,305.49,1.57,0.64,2.36,6.27,3.21,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_11",122.529411764706,129.444915254237,1.05643953880078,0.946575703835497,2,"Nup60-WT","pCUP-Cdc5_induction"
"17","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_12_substack_frame_1_middleslice",1202.4,493.79,2.44,0.41,4.07,9.01,5.23,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_12",243.400809716599,121.324324324324,0.498454892017766,2.00619959000093,2,"Nup60-WT","pCUP-Cdc5_induction"
"18","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_12_substack_frame_2_middleslice",733.33,589.87,1.24,0.8,3.74,8.31,4.78,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_12",160.466083150985,157.719251336898,0.982882165750243,1.01741595772744,2,"Nup60-WT","pCUP-Cdc5_induction"
"19","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_1_substack_frame_1_middleslice",864,281.17,3.07,0.33,2.77,6.97,3.71,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_1",205.714285714286,101.505415162455,0.493429101484156,2.02663360752773,2,"Nup60-WT","pCUP-Cdc5_induction"
"20","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_1_substack_frame_2_middleslice",636.33,362.71,1.75,0.57,2.68,6.88,3.64,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_02_R3D_D3D_nucleus_1",151.507142857143,135.339552238806,0.893288261441367,1.11945946584639,2,"Nup60-WT","pCUP-Cdc5_induction"
